timestamp;akkuLadung;akkuLadestand;hausabgabe;solarleistung;netzbezug;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2025-12-30T00:00:00;0.0;268.0;0.0;0.0;202.0;202.0;0.0;0.0;0.0;0;202.0;202.0;202.0;0.0;2481.668090004822;268.0
2025-12-30T00:03:44.506620;0.0;268.0;0.0;0.0;203.0;203.0;0.0;0.0;0.0;0;203.0;203.0;203.0;0.0;2466.2294572609194;536
2025-12-30T00:09:10.015172;0.0;268.0;0.0;0.0;202.0;202.0;0.0;0.0;0.0;0;202.0;202.0;202.0;0.0;2443.9554980793478;536.0
2025-12-30T00:14:10.525515;0.0;268.0;0.0;0.0;209.0;209.0;0.0;0.0;0.0;0;209.0;209.0;209.0;0.0;2422.6795286731826;536.0
2025-12-30T00:19:36.610601;0.0;268.0;0.0;0.0;206.0;206.0;0.0;0.0;0.0;0;206.0;206.0;206.0;0.0;2399.924268606787;536.0
2025-12-30T00:24:36.503239;0.0;268.0;0.0;0.0;203.0;203.0;0.0;0.0;0.0;0;203.0;203.0;203.0;0.0;2379.301570261936;536.0
2025-12-30T00:30:01.613550;0.0;268.0;0.0;0.0;185.0;185.0;0.0;0.0;0.0;0;185.0;185.0;185.0;0.0;2357.318599671658;536.0
2025-12-30T00:34:01.632110;0.0;268.0;0.0;0.0;204.0;204.0;0.0;0.0;0.0;0;204.0;204.0;204.0;0.0;2340.7319512163735;536.0
2025-12-30T00:44:28.514807;0.0;268.0;0.0;0.0;183.0;183.0;0.0;0.0;0.0;0;183.0;183.0;183.0;0.0;2298.802297140716;536.0
2025-12-30T00:49:28.519483;0.0;268.0;0.0;0.0;181.0;181.0;0.0;0.0;0.0;0;181.0;181.0;181.0;0.0;2278.955496572002;536.0
2025-12-30T00:53:54.511393;0.0;268.0;0.0;0.0;183.0;183.0;0.0;0.0;0.0;0;183.0;183.0;183.0;0.0;2261.1643710127914;536.0
