timestamp;hausabgabe;solarleistung_pv2;solarleistung_pv4;akkuLadestand;solarleistung_pv1;netzeinspeisung;netzbezug;solarleistung_pv3;solarleistung;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2026-03-23T00:00:00;216.0;0.0;0.0;510.0;0.0;6.0;0.0;0.0;0.0;210.0;0;0;0;0;210.0;210.0;210.0;0.0;332.60550278043723;510.0
2026-03-23T00:04:59.868855;197.0;0.0;0.0;510.0;0.0;6.0;0.0;0.0;0.0;191.0;0;0;0;0;191.0;191.0;191.0;0.0;311.6716755490776;510.0
2026-03-23T00:04:59.874420;197.0;0.0;0.0;483.0;0.0;6.0;0.0;0.0;0.0;191.0;0;0;0;0;191.0;191.0;191.0;0.0;311.671287056753;510.0
2026-03-23T00:04:59.875118;197.0;0.0;0.0;483.0;0.0;7.0;0.0;0.0;0.0;190.0;0;0;0;0;190.0;190.0;190.0;0.0;311.6712385845308;510.0
2026-03-23T00:09:59.809800;182.0;0.0;0.0;483.0;0.0;7.0;0.0;0.0;0.0;175.0;0;0;0;0;175.0;175.0;175.0;0.0;292.4868199624548;510.0
2026-03-23T00:09:59.811519;182.0;0.0;0.0;483.0;0.0;5.0;0.0;0.0;0.0;177.0;0;0;0;0;177.0;177.0;177.0;0.0;292.48670875521793;510.0
2026-03-23T00:15:04.811141;178.0;0.0;0.0;483.0;0.0;5.0;0.0;0.0;0.0;173.0;0;0;0;0;173.0;173.0;173.0;0.0;273.20127944015945;510.0
2026-03-23T00:15:04.816260;178.0;0.0;0.0;456.0;0.0;5.0;0.0;0.0;0.0;173.0;0;0;0;0;173.0;173.0;173.0;0.0;273.20095576070037;510.0
2026-03-23T00:15:04.816947;178.0;0.0;0.0;456.0;0.0;6.0;0.0;0.0;0.0;172.0;0;0;0;0;172.0;172.0;172.0;0.0;273.2009125721039;510.0
2026-03-23T00:20:04.821742;182.0;0.0;0.0;456.0;0.0;6.0;0.0;0.0;0.0;176.0;0;0;0;0;0;176.0;0;176.0;268;510.0
2026-03-23T00:20:04.827700;182.0;0.0;0.0;430.0;0.0;6.0;0.0;0.0;0.0;176.0;0;0;0;0;0;176.0;0;176.0;268;510.0
2026-03-23T00:20:04.828379;182.0;0.0;0.0;430.0;0.0;5.0;0.0;0.0;0.0;177.0;0;0;0;0;0;177.0;0;177.0;268;510.0
2026-03-23T00:25:20.829679;172.0;0.0;0.0;430.0;0.0;5.0;0.0;0.0;0.0;167.0;0;0;0;0;0;167.0;0;167.0;268;510.0
2026-03-23T00:25:20.835062;172.0;0.0;0.0;430.0;0.0;0.0;0.0;0.0;0.0;172.0;0;0;0;0;0;172.0;0;172.0;268;510.0
2026-03-23T00:30:20.821284;199.0;0.0;0.0;430.0;0.0;0.0;0.0;0.0;0.0;199.0;0;0;0;0;0;199.0;0;199.0;268;510.0
2026-03-23T00:30:20.826607;199.0;0.0;0.0;403.0;0.0;0.0;0.0;0.0;0.0;199.0;0;0;0;0;0;199.0;0;199.0;268;510.0
2026-03-23T00:30:20.827327;199.0;0.0;0.0;403.0;0.0;3.0;0.0;0.0;0.0;196.0;0;0;0;0;0;196.0;0;196.0;268;510.0
2026-03-23T00:35:25.804608;191.0;0.0;0.0;403.0;0.0;3.0;0.0;0.0;0.0;188.0;0;0;0;0;0;188.0;0;188.0;268;510.0
2026-03-23T00:35:25.810293;191.0;0.0;0.0;403.0;0.0;0.0;0.0;0.0;0.0;191.0;0;0;0;0;0;191.0;0;191.0;268;510.0
2026-03-23T00:40:25.827008;199.0;0.0;0.0;403.0;0.0;0.0;0.0;0.0;0.0;199.0;0;0;0;0;0;199.0;0;199.0;268;510.0
2026-03-23T00:40:25.832540;199.0;0.0;0.0;376.0;0.0;0.0;0.0;0.0;0.0;199.0;0;0;0;0;0;199.0;0;199.0;268;510.0
2026-03-23T00:40:25.833268;199.0;0.0;0.0;376.0;0.0;6.0;0.0;0.0;0.0;193.0;0;0;0;0;0;193.0;0;193.0;268;510.0
2026-03-23T00:45:30.822374;182.0;0.0;0.0;376.0;0.0;6.0;0.0;0.0;0.0;176.0;0;0;0;0;0;176.0;0;176.0;268;510.0
2026-03-23T00:45:30.828009;182.0;0.0;0.0;349.0;0.0;6.0;0.0;0.0;0.0;176.0;0;0;0;0;0;176.0;0;176.0;268;510.0
2026-03-23T00:45:30.828657;182.0;0.0;0.0;349.0;0.0;7.0;0.0;0.0;0.0;175.0;0;0;0;0;0;175.0;0;175.0;268;510.0
2026-03-23T00:50:30.845962;199.0;0.0;0.0;349.0;0.0;7.0;0.0;0.0;0.0;192.0;0;0;0;0;0;192.0;0;192.0;268;510.0
2026-03-23T00:50:30.851606;199.0;0.0;0.0;322.0;0.0;7.0;0.0;0.0;0.0;192.0;0;0;0;0;0;192.0;0;192.0;268;510.0
2026-03-23T00:50:30.852363;199.0;0.0;0.0;322.0;0.0;5.0;0.0;0.0;0.0;194.0;0;0;0;0;0;194.0;0;194.0;268;510.0
2026-03-23T00:55:35.807138;208.0;0.0;0.0;322.0;0.0;5.0;0.0;0.0;0.0;203.0;0;0;0;0;0;203.0;0;203.0;268;510.0
2026-03-23T00:55:35.813042;208.0;0.0;0.0;295.0;0.0;5.0;0.0;0.0;0.0;203.0;0;0;0;0;0;203.0;0;203.0;268;510.0
2026-03-23T00:55:35.813730;208.0;0.0;0.0;295.0;0.0;6.0;0.0;0.0;0.0;202.0;0;0;0;0;0;202.0;0;202.0;268;510.0
2026-03-23T01:00:35.814338;0.0;0.0;0.0;295.0;0.0;6.0;0.0;0.0;0.0;-6.0;0;-6.0;6.0;0;0.0;0.0;-6.0;0.0;268.44000089173335;510.0
2026-03-23T01:00:35.819726;0.0;0.0;0.0;268.0;0.0;6.0;0.0;0.0;0.0;-6.0;0;-6.0;6.0;0;0.0;0.0;-6.0;0.0;268.44000879413335;510.0
2026-03-23T01:00:35.820387;0.0;0.0;0.0;268.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;268.44000879413335;510.0
2026-03-23T01:00:35.820668;0.0;0.0;0.0;268.0;0.0;0.0;198.0;0.0;0.0;198.0;0;0;0;0;198.0;198.0;198.0;0.0;268.43998845860705;510.0
2026-03-23T01:10:40.802833;0.0;0.0;0.0;268.0;0.0;0.0;215.0;0.0;0.0;215.0;0;0;0;0;0;215.0;0;215.0;268;510.0
2026-03-23T01:15:45.819158;0.0;0.0;0.0;268.0;0.0;0.0;218.0;0.0;0.0;218.0;0;0;0;0;0;218.0;0;218.0;268;510.0
2026-03-23T01:20:45.800410;0.0;0.0;0.0;268.0;0.0;0.0;220.0;0.0;0.0;220.0;0;0;0;0;0;220.0;0;220.0;268;510.0
2026-03-23T01:25:50.812420;0.0;0.0;0.0;268.0;0.0;0.0;195.0;0.0;0.0;195.0;0;0;0;0;0;195.0;0;195.0;268;510.0
2026-03-23T01:30:50.803286;0.0;0.0;0.0;268.0;0.0;0.0;177.0;0.0;0.0;177.0;0;0;0;0;0;177.0;0;177.0;268;510.0
2026-03-23T01:40:55.803638;0.0;0.0;0.0;268.0;0.0;0.0;203.0;0.0;0.0;203.0;0;0;0;0;0;203.0;0;203.0;268;510.0
2026-03-23T01:46:00.806060;0.0;0.0;0.0;268.0;0.0;0.0;179.0;0.0;0.0;179.0;0;0;0;0;0;179.0;0;179.0;268;510.0
