timestamp;hausabgabe;solarleistung;akkuLadung;netzbezug;akkuLadestand;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2025-12-20T00:00:00;0.0;0.0;0.0;219.0;268.0;219.0;0.0;0.0;0.0;0;219.0;219.0;219.0;0.0;536;268.0
2025-12-20T00:03:58.445604;0.0;0.0;0.0;192.0;268.0;192.0;0.0;0.0;0.0;0.0;0;192.0;0.0;192.0;536;536
2025-12-20T00:14:24.433979;0.0;0.0;0.0;191.0;268.0;191.0;0.0;0.0;0.0;0.0;0;191.0;0.0;191.0;536;536.0
2025-12-20T00:18:24.503928;0.0;0.0;0.0;189.0;268.0;189.0;0.0;0.0;0.0;0.0;0;189.0;0.0;189.0;536;536.0
2025-12-20T00:23:50.449969;0.0;0.0;0.0;191.0;268.0;191.0;0.0;0.0;0.0;0.0;0;191.0;0.0;191.0;536;536.0
2025-12-20T00:28:50.412806;0.0;0.0;0.0;215.0;268.0;215.0;0.0;0.0;0.0;0.0;0;215.0;0.0;215.0;536;536.0
2025-12-20T00:34:16.605273;0.0;0.0;0.0;206.0;268.0;206.0;0.0;0.0;0.0;0.0;0;206.0;0.0;206.0;536;536.0
2025-12-20T00:39:16.417687;0.0;0.0;0.0;201.0;268.0;201.0;0.0;0.0;0.0;0.0;0;201.0;0.0;201.0;536;536.0
2025-12-20T00:44:42.463016;0.0;0.0;0.0;200.0;268.0;200.0;0.0;0.0;0.0;0.0;0;200.0;0.0;200.0;536;536.0
2025-12-20T00:48:42.412430;0.0;0.0;0.0;198.0;268.0;198.0;0.0;0.0;0.0;0.0;0;198.0;0.0;198.0;536;536.0
2025-12-20T00:53:42.406934;0.0;0.0;0.0;238.0;268.0;238.0;0.0;0.0;0.0;0.0;0;238.0;0.0;238.0;536;536.0
2025-12-20T00:59:08.407339;0.0;0.0;0.0;237.0;268.0;237.0;0.0;0.0;0.0;0.0;0;237.0;0.0;237.0;536;536.0
2025-12-20T01:04:08.418680;0.0;0.0;0.0;2080.0;268.0;2080.0;0.0;0.0;0.0;0.0;0;2080.0;0.0;2080.0;536;536.0
