timestamp;solarleistung;hausabgabe;solarleistung_pv4;netzbezug;akkuLadestand;solarleistung_pv1;netzeinspeisung;solarleistung_pv3;solarleistung_pv2;akkuLadung;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2026-04-22T00:00:00;0.0;208.0;0.0;0.0;860.0;0.0;6.0;0.0;0.0;0.0;202.0;0;0;0;0;202.0;202.0;202.0;0.0;1195.4147876292088;860.0
2026-04-22T00:01:17.742509;0.0;208.0;0.0;0.0;860.0;0.0;9.0;0.0;0.0;0.0;199.0;0;0;0;0;199.0;199.0;199.0;0.0;1189.7602703444866;860.0
2026-04-22T00:01:17.749110;0.0;211.0;0.0;0.0;860.0;0.0;9.0;0.0;0.0;0.0;202.0;0;0;0;0;202.0;202.0;202.0;0.0;1189.7598186500422;860.0
2026-04-22T00:01:17.750193;0.0;211.0;0.0;0.0;833.0;0.0;9.0;0.0;0.0;0.0;202.0;0;0;0;0;202.0;202.0;202.0;0.0;1189.7597445423187;860.0
2026-04-22T00:06:17.755883;0.0;211.0;0.0;0.0;833.0;0.0;6.0;0.0;0.0;0.0;205.0;0;0;0;0;205.0;205.0;205.0;0.0;1168.9260160700965;860.0
2026-04-22T00:06:17.762449;0.0;194.0;0.0;0.0;833.0;0.0;6.0;0.0;0.0;0.0;188.0;0;0;0;0;188.0;188.0;188.0;0.0;1168.9255648975818;860.0
2026-04-22T00:11:22.733808;0.0;194.0;0.0;0.0;833.0;0.0;5.0;0.0;0.0;0.0;189.0;0;0;0;0;189.0;189.0;189.0;0.0;1147.858464440345;860.0
2026-04-22T00:11:22.740778;0.0;184.0;0.0;0.0;833.0;0.0;5.0;0.0;0.0;0.0;179.0;0;0;0;0;179.0;179.0;179.0;0.0;1147.858008435228;860.0
2026-04-22T00:11:22.741842;0.0;184.0;0.0;0.0;806.0;0.0;5.0;0.0;0.0;0.0;179.0;0;0;0;0;179.0;179.0;179.0;0.0;1147.857938824117;860.0
2026-04-22T00:16:22.746063;0.0;189.0;0.0;0.0;806.0;0.0;5.0;0.0;0.0;0.0;184.0;0;0;0;0;184.0;184.0;184.0;0.0;1127.6822163592046;860.0
2026-04-22T00:16:22.747044;0.0;189.0;0.0;0.0;779.0;0.0;5.0;0.0;0.0;0.0;184.0;0;0;0;0;184.0;184.0;184.0;0.0;1127.6821503855203;860.0
2026-04-22T00:20:38.732506;0.0;189.0;0.0;0.0;779.0;0.0;7.0;0.0;0.0;0.0;182.0;0;0;0;0;182.0;182.0;182.0;0.0;1110.653877694;860.0
2026-04-22T00:20:38.738666;0.0;224.0;0.0;0.0;779.0;0.0;7.0;0.0;0.0;0.0;217.0;0;0;0;0;217.0;217.0;217.0;0.0;1110.6534248755718;860.0
2026-04-22T00:20:38.739621;0.0;224.0;0.0;0.0;752.0;0.0;7.0;0.0;0.0;0.0;217.0;0;0;0;0;217.0;217.0;217.0;0.0;1110.6533546740136;860.0
2026-04-22T00:25:38.737472;0.0;224.0;0.0;0.0;752.0;0.0;2.0;0.0;0.0;0.0;222.0;0;0;0;0;222.0;222.0;222.0;0.0;1088.0925406760462;860.0
2026-04-22T00:25:38.744144;0.0;223.0;0.0;0.0;752.0;0.0;2.0;0.0;0.0;0.0;221.0;0;0;0;0;221.0;221.0;221.0;0.0;1088.0920411801112;860.0
