timestamp;akkuLadestand;solarleistung;hausabgabe;akkuEntladung;netzbezug;akkuLadung;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2025-11-28T23:00:00+00:00;241.0;0.0;0.0;-0.0;187.0;0.0;187.0;0.0;0.0;0.0;0;187.0;187.0;187.0;0.0;536;241.0
2025-11-28T23:01:36.533000+00:00;241.0;0.0;0.0;-0.0;208.0;0.0;208.0;0.0;0.0;0.0;0.0;0;208.0;0.0;208.0;536;536
2025-11-28T23:12:03.610000+00:00;241.0;0.0;0.0;-0.0;249.0;0.0;249.0;0.0;0.0;0.0;0.0;0;249.0;0.0;249.0;536;536.0
2025-11-28T23:17:04.534000+00:00;241.0;0.0;0.0;-0.0;241.0;0.0;241.0;0.0;0.0;0.0;0.0;0;241.0;0.0;241.0;536;536.0
2025-11-28T23:21:30.529000+00:00;241.0;0.0;0.0;-0.0;2074.0;0.0;2074.0;0.0;0.0;0.0;0.0;0;2074.0;0.0;2074.0;536;536.0
2025-11-28T23:26:30.551000+00:00;241.0;0.0;0.0;-0.0;2181.0;0.0;2181.0;0.0;0.0;0.0;0.0;0;2181.0;0.0;2181.0;536;536.0
2025-11-28T23:31:56.522000+00:00;241.0;0.0;0.0;-0.0;2100.0;0.0;2100.0;0.0;0.0;0.0;0.0;0;2100.0;0.0;2100.0;536;536.0
2025-11-28T23:36:56.524000+00:00;241.0;0.0;0.0;-0.0;216.0;0.0;216.0;0.0;0.0;0.0;0.0;0;216.0;0.0;216.0;536;536.0
2025-11-28T23:42:22.527000+00:00;241.0;0.0;0.0;-0.0;240.0;0.0;240.0;0.0;0.0;0.0;0.0;0;240.0;0.0;240.0;536;536.0
2025-11-28T23:47:22.525000+00:00;241.0;0.0;0.0;-0.0;242.0;0.0;242.0;0.0;0.0;0.0;0.0;0;242.0;0.0;242.0;536;536.0
2025-11-28T23:51:48.547000+00:00;241.0;0.0;0.0;-0.0;264.0;0.0;264.0;0.0;0.0;0.0;0.0;0;264.0;0.0;264.0;536;536.0
2025-11-28T23:56:48.536000+00:00;241.0;0.0;0.0;-0.0;257.0;0.0;257.0;0.0;0.0;0.0;0.0;0;257.0;0.0;257.0;536;536.0
