timestamp;akkuLadestand;hausabgabe;netzbezug;solarleistung;akkuLadung;akkuEntladung;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2025-12-11T23:00:00+00:00;268.0;0.0;208.0;0.0;0.0;-0.0;208.0;0.0;0.0;0.0;0;208.0;208.0;208.0;0.0;268;268.0
2025-12-11T23:02:51.273000+00:00;268.0;0.0;199.0;0.0;0.0;-0.0;199.0;0.0;0.0;0.0;0.0;0;199.0;0.0;199.0;268;268.0
2025-12-11T23:07:51.269000+00:00;268.0;0.0;200.0;0.0;0.0;-0.0;200.0;0.0;0.0;0.0;0.0;0;200.0;0.0;200.0;268;268.0
2025-12-11T23:12:17.313000+00:00;268.0;0.0;177.0;0.0;0.0;-0.0;177.0;0.0;0.0;0.0;0.0;0;177.0;0.0;177.0;268;268.0
2025-12-11T23:22:42.291000+00:00;268.0;0.0;181.0;0.0;0.0;-0.0;181.0;0.0;0.0;0.0;0.0;0;181.0;0.0;181.0;268;268.0
2025-12-11T23:27:42.271000+00:00;268.0;0.0;178.0;0.0;0.0;-0.0;178.0;0.0;0.0;0.0;0.0;0;178.0;0.0;178.0;268;268.0
2025-12-11T23:33:07.413000+00:00;268.0;0.0;199.0;0.0;0.0;-0.0;199.0;0.0;0.0;0.0;0.0;0;199.0;0.0;199.0;268;268.0
2025-12-11T23:38:07.285000+00:00;268.0;0.0;200.0;0.0;0.0;-0.0;200.0;0.0;0.0;0.0;0.0;0;200.0;0.0;200.0;268;268.0
2025-12-11T23:42:32.269000+00:00;268.0;0.0;198.0;0.0;0.0;-0.0;198.0;0.0;0.0;0.0;0.0;0;198.0;0.0;198.0;268;268.0
2025-12-11T23:47:32.270000+00:00;268.0;0.0;196.0;0.0;0.0;-0.0;196.0;0.0;0.0;0.0;0.0;0;196.0;0.0;196.0;268;268.0
2025-12-11T23:57:57.293000+00:00;268.0;0.0;197.0;0.0;0.0;-0.0;197.0;0.0;0.0;0.0;0.0;0;197.0;0.0;197.0;268;268.0
2025-12-12T00:08:22.307000+00:00;268.0;0.0;196.0;0.0;0.0;-0.0;196.0;0.0;0.0;0.0;0.0;0;196.0;0.0;196.0;268;268.0
2025-12-12T00:12:47.271000+00:00;268.0;0.0;178.0;0.0;0.0;-0.0;178.0;0.0;0.0;0.0;0.0;0;178.0;0.0;178.0;268;268.0
