timestamp;hausabgabe;solarleistung_pv2;solarleistung_pv4;akkuLadung;akkuLadestand;solarleistung_pv1;netzeinspeisung;solarleistung;netzbezug;solarleistung_pv3;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2026-03-22T00:00:00;;;;0.0;;;;;;;;0;0;0;0.0;0.0;0.0;0.0;0.0;485.505893640917;0
2026-03-22T07:22:07.554472;;;;0.0;;;;121.0;;;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;2054.758115962339;426
2026-03-22T07:22:07.556059;;;;0.0;;25.0;;121.0;;;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;2054.758209842206;426.0
2026-03-22T07:22:07.557471;;26.0;;0.0;;25.0;;121.0;;;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;2054.7582933698504;426.0
2026-03-22T07:22:07.559182;;26.0;;0.0;;25.0;;121.0;;42.0;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;2054.758394585006;426.0
2026-03-22T07:22:07.560825;;26.0;28.0;0.0;;25.0;;121.0;;42.0;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;2054.758491777584;426.0
2026-03-22T07:22:07.570401;121.0;26.0;28.0;0.0;;25.0;;121.0;;42.0;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;2054.759058251184;426.0
2026-03-22T07:22:07.577966;121.0;26.0;28.0;0.0;268.0;25.0;;121.0;;42.0;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;2054.7595057629615;426.0
2026-03-22T07:22:07.583960;121.0;26.0;28.0;0.0;268.0;25.0;0.0;121.0;;42.0;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;2054.7598603413617;426.0
2026-03-22T07:22:07.585429;121.0;26.0;28.0;0.0;268.0;25.0;0.0;121.0;77.0;42.0;198.0;242.0;198.0;44.0;0;0.0;0.0;198.0;0.0;2054.759876141273;426.0
2026-03-22T07:23:08.086457;121.0;26.0;28.0;0.0;268.0;25.0;0.0;141.0;77.0;42.0;198.0;282.0;198.0;84.0;0;0.0;0.0;198.0;0.0;2056.002163916206;426.0
2026-03-22T07:23:08.087546;121.0;26.0;28.0;0.0;268.0;30.0;0.0;141.0;77.0;42.0;198.0;282.0;198.0;84.0;0;0.0;0.0;198.0;0.0;2056.002186277006;426.0
2026-03-22T07:23:08.090585;121.0;32.0;28.0;0.0;268.0;30.0;0.0;141.0;77.0;42.0;198.0;282.0;198.0;84.0;0;0.0;0.0;198.0;0.0;2056.0022486778057;426.0
2026-03-22T07:23:08.092160;121.0;32.0;28.0;0.0;268.0;30.0;0.0;141.0;77.0;47.0;198.0;282.0;198.0;84.0;0;0.0;0.0;198.0;0.0;2056.0022810178057;426.0
2026-03-22T07:23:08.093369;121.0;32.0;32.0;0.0;268.0;30.0;0.0;141.0;77.0;47.0;198.0;282.0;198.0;84.0;0;0.0;0.0;198.0;0.0;2056.002305842606;426.0
2026-03-22T07:23:08.099815;141.0;32.0;32.0;0.0;268.0;30.0;0.0;141.0;77.0;47.0;218.0;282.0;218.0;64.0;0;0.0;0.0;218.0;0.0;2056.002406686695;426.0
2026-03-22T07:23:08.106327;141.0;32.0;32.0;0.0;268.0;30.0;0.0;141.0;77.0;47.0;218.0;282.0;218.0;64.0;0;0.0;0.0;218.0;0.0;2056.002508563317;426.0
2026-03-22T07:23:08.110300;141.0;32.0;32.0;0.0;268.0;30.0;0.0;141.0;77.0;47.0;218.0;282.0;218.0;64.0;0;0.0;0.0;218.0;0.0;2056.0025707186946;426.0
2026-03-22T07:23:08.111557;141.0;32.0;32.0;0.0;268.0;30.0;0.0;141.0;62.0;47.0;203.0;282.0;203.0;79.0;0;0.0;0.0;203.0;0.0;2056.0025949927613;426.0
2026-03-22T07:28:08.813110;141.0;32.0;32.0;0.0;268.0;30.0;0.0;177.0;62.0;47.0;203.0;354.0;203.0;151.0;0;0.0;0.0;203.0;0.0;2067.101823426828;426.0
