timestamp;hausabgabe;solarleistung_pv2;solarleistung_pv4;akkuLadung;akkuLadestand;solarleistung_pv1;netzeinspeisung;solarleistung;netzbezug;solarleistung_pv3;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2026-03-18T00:00:00;;;;0.0;;;;;;;;0;0;0;0.0;0.0;0.0;0.0;0.0;1739.8452964606672;0
2026-03-18T07:22:07.554472;;;;0.0;;;;121.0;;;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;3309.0975187820895;536
2026-03-18T07:22:07.556059;;;;0.0;;25.0;;121.0;;;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;3309.097612661956;536.0
2026-03-18T07:22:07.557471;;26.0;;0.0;;25.0;;121.0;;;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;3309.097696189601;536.0
2026-03-18T07:22:07.559182;;26.0;;0.0;;25.0;;121.0;;42.0;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;3309.0977974047564;536.0
2026-03-18T07:22:07.560825;;26.0;28.0;0.0;;25.0;;121.0;;42.0;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;3309.0978945973343;536.0
2026-03-18T07:22:07.570401;121.0;26.0;28.0;0.0;;25.0;;121.0;;42.0;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;3309.0984610709343;536.0
2026-03-18T07:22:07.577966;121.0;26.0;28.0;0.0;268.0;25.0;;121.0;;42.0;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;3309.098908582712;536.0
2026-03-18T07:22:07.583960;121.0;26.0;28.0;0.0;268.0;25.0;0.0;121.0;;42.0;;242.0;0.0;242.0;0;0.0;0.0;0.0;0.0;3309.099263161112;536.0
2026-03-18T07:22:07.585429;121.0;26.0;28.0;0.0;268.0;25.0;0.0;121.0;77.0;42.0;198.0;242.0;198.0;44.0;0;0.0;0.0;198.0;0.0;3309.099278961023;536.0
2026-03-18T07:23:08.086457;121.0;26.0;28.0;0.0;268.0;25.0;0.0;141.0;77.0;42.0;198.0;282.0;198.0;84.0;0;0.0;0.0;198.0;0.0;3310.3415667359563;536.0
2026-03-18T07:23:08.087546;121.0;26.0;28.0;0.0;268.0;30.0;0.0;141.0;77.0;42.0;198.0;282.0;198.0;84.0;0;0.0;0.0;198.0;0.0;3310.3415890967563;536.0
2026-03-18T07:23:08.090585;121.0;32.0;28.0;0.0;268.0;30.0;0.0;141.0;77.0;42.0;198.0;282.0;198.0;84.0;0;0.0;0.0;198.0;0.0;3310.341651497556;536.0
