timestamp;netzeinspeisung;solarleistung_pv3;solarleistung;solarleistung_pv1;akkuLadestand;solarleistung_pv2;hausabgabe;solarleistung_pv4;netzbezug;akkuLadung;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2026-03-05T03:04:54.946903;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;200.0;0.0;200.0;0;0;0;0;0;200.0;0;200.0;268;268.0
2026-03-05T03:09:59.914073;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;196.0;0.0;196.0;0;0;0;0;0;196.0;0;196.0;268;268.0
2026-03-05T03:14:59.960326;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;218.0;0.0;218.0;0;0;0;0;0;218.0;0;218.0;268;268.0
2026-03-05T03:20:04.918209;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;202.0;0.0;202.0;0;0;0;0;0;202.0;0;202.0;268;268.0
2026-03-05T03:25:04.941282;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;198.0;0.0;198.0;0;0;0;0;0;198.0;0;198.0;268;268.0
2026-03-05T03:30:09.950994;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;213.0;0.0;213.0;0;0;0;0;0;213.0;0;213.0;268;268.0
2026-03-05T03:35:09.936982;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;203.0;0.0;203.0;0;0;0;0;0;203.0;0;203.0;268;268.0
2026-03-05T03:40:14.934690;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;199.0;0.0;199.0;0;0;0;0;0;199.0;0;199.0;268;268.0
2026-03-05T03:45:14.938754;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;217.0;0.0;217.0;0;0;0;0;0;217.0;0;217.0;268;268.0
2026-03-05T03:50:19.915009;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;214.0;0.0;214.0;0;0;0;0;0;214.0;0;214.0;268;268.0
2026-03-05T03:55:19.936411;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;196.0;0.0;196.0;0;0;0;0;0;196.0;0;196.0;268;268.0
2026-03-05T04:00:24.939816;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;197.0;0.0;197.0;0;0;0;0;0;197.0;0;197.0;268;268.0
2026-03-05T04:05:24.948403;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;198.0;0.0;198.0;0;0;0;0;0;198.0;0;198.0;268;268.0
2026-03-05T04:10:30.924251;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;177.0;0.0;177.0;0;0;0;0;0;177.0;0;177.0;268;268.0
2026-03-05T04:15:30.954657;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;178.0;0.0;178.0;0;0;0;0;0;178.0;0;178.0;268;268.0
2026-03-05T04:20:35.931728;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;177.0;0.0;177.0;0;0;0;0;0;177.0;0;177.0;268;268.0
2026-03-05T04:25:35.953839;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;196.0;0.0;196.0;0;0;0;0;0;196.0;0;196.0;268;268.0
2026-03-05T04:30:40.914458;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;195.0;0.0;195.0;0;0;0;0;0;195.0;0;195.0;268;268.0
2026-03-05T04:35:40.932782;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;220.0;0.0;220.0;0;0;0;0;0;220.0;0;220.0;268;268.0
2026-03-05T04:40:45.923336;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;203.0;0.0;203.0;0;0;0;0;0;203.0;0;203.0;268;268.0
