timestamp;solarleistung;hausabgabe;solarleistung_pv4;netzbezug;akkuLadestand;solarleistung_pv1;netzeinspeisung;solarleistung_pv3;solarleistung_pv2;akkuLadung;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2026-04-26T00:00:00;0.0;198.0;0.0;0.0;1639.0;0.0;5.0;0.0;0.0;0.0;193.0;0;0;0;0;193.0;193.0;193.0;0.0;4128.073905229225;1639.0
2026-04-26T00:03:58.777944;0.0;198.0;0.0;0.0;1639.0;0.0;6.0;0.0;0.0;0.0;192.0;0;0;0;0;192.0;192.0;192.0;0.0;4111.317558281857;1639.0
2026-04-26T00:03:58.785855;0.0;179.0;0.0;0.0;1639.0;0.0;6.0;0.0;0.0;0.0;173.0;0;0;0;0;173.0;173.0;173.0;0.0;4111.317058061462;1639.0
2026-04-26T00:03:58.786940;0.0;179.0;0.0;0.0;1612.0;0.0;6.0;0.0;0.0;0.0;173.0;0;0;0;0;173.0;173.0;173.0;0.0;4111.316989455834;1639.0
2026-04-26T00:08:58.799854;0.0;179.0;0.0;0.0;1612.0;0.0;4.0;0.0;0.0;0.0;175.0;0;0;0;0;175.0;175.0;175.0;0.0;4092.1275669594893;1639.0
2026-04-26T00:08:58.806709;0.0;198.0;0.0;0.0;1612.0;0.0;4.0;0.0;0.0;0.0;194.0;0;0;0;0;194.0;194.0;194.0;0.0;4092.127080895893;1639.0
2026-04-26T00:08:58.807797;0.0;198.0;0.0;0.0;1585.0;0.0;4.0;0.0;0.0;0.0;194.0;0;0;0;0;194.0;194.0;194.0;0.0;4092.1270037496943;1639.0
2026-04-26T00:14:03.780596;0.0;198.0;0.0;0.0;1585.0;0.0;7.0;0.0;0.0;0.0;191.0;0;0;0;0;191.0;191.0;191.0;0.0;4070.836870486171;1639.0
2026-04-26T00:14:03.787799;0.0;202.0;0.0;0.0;1585.0;0.0;7.0;0.0;0.0;0.0;195.0;0;0;0;0;195.0;195.0;195.0;0.0;4070.8363571144605;1639.0
2026-04-26T00:14:03.788877;0.0;202.0;0.0;0.0;1559.0;0.0;7.0;0.0;0.0;0.0;195.0;0;0;0;0;195.0;195.0;195.0;0.0;4070.8362802833203;1639.0
2026-04-26T00:19:03.798578;0.0;209.0;0.0;0.0;1559.0;0.0;7.0;0.0;0.0;0.0;202.0;0;0;0;0;202.0;202.0;202.0;0.0;4050.307161176952;1639.0
2026-04-26T00:24:08.780453;0.0;209.0;0.0;0.0;1559.0;0.0;9.0;0.0;0.0;0.0;200.0;0;0;0;0;200.0;200.0;200.0;0.0;4029.644432518415;1639.0
2026-04-26T00:24:08.787026;0.0;202.0;0.0;0.0;1559.0;0.0;9.0;0.0;0.0;0.0;193.0;0;0;0;0;193.0;193.0;193.0;0.0;4029.643968852845;1639.0
2026-04-26T00:24:08.788096;0.0;202.0;0.0;0.0;1532.0;0.0;9.0;0.0;0.0;0.0;193.0;0;0;0;0;193.0;193.0;193.0;0.0;4029.6438933740437;1639.0
2026-04-26T00:29:08.822763;0.0;202.0;0.0;0.0;1532.0;0.0;7.0;0.0;0.0;0.0;195.0;0;0;0;0;195.0;195.0;195.0;0.0;4008.2598436426842;1639.0
2026-04-26T00:29:08.829848;0.0;219.0;0.0;0.0;1532.0;0.0;7.0;0.0;0.0;0.0;212.0;0;0;0;0;212.0;212.0;212.0;0.0;4008.2593348283212;1639.0
2026-04-26T00:29:08.830859;0.0;219.0;0.0;0.0;1505.0;0.0;7.0;0.0;0.0;0.0;212.0;0;0;0;0;212.0;212.0;212.0;0.0;4008.2592622226302;1639.0
2026-04-26T00:34:13.774416;0.0;219.0;0.0;0.0;1505.0;0.0;5.0;0.0;0.0;0.0;214.0;0;0;0;0;214.0;214.0;214.0;0.0;3986.152920353389;1639.0
2026-04-26T00:34:13.781068;0.0;217.0;0.0;0.0;1505.0;0.0;5.0;0.0;0.0;0.0;212.0;0;0;0;0;212.0;212.0;212.0;0.0;3986.152442635232;1639.0
2026-04-26T00:34:13.782096;0.0;217.0;0.0;0.0;1478.0;0.0;5.0;0.0;0.0;0.0;212.0;0;0;0;0;212.0;212.0;212.0;0.0;3986.1523688086736;1639.0
