timestamp;netzbezug;akkuLadung;hausabgabe;solarleistung;akkuLadestand;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2025-12-29T00:00:00;0.0;0.0;194.0;0.0;645.0;194.0;0.0;0.0;0.0;0;194.0;194.0;194.0;0.0;3245.336262509881;645.0
2025-12-29T00:04:29.500307;0.0;0.0;190.0;0.0;645.0;190.0;0.0;0.0;0.0;0;190.0;190.0;190.0;0.0;3226.620963412659;645.0
2025-12-29T00:04:29.505442;0.0;0.0;190.0;0.0;618.0;190.0;0.0;0.0;0.0;0;190.0;190.0;190.0;0.0;3226.6206068154365;645.0
2025-12-29T00:04:29.506464;1.0;0.0;190.0;0.0;618.0;191.0;0.0;0.0;0.0;0;191.0;191.0;191.0;0.0;3226.6205354696763;645.0
2025-12-29T00:09:56.492671;0.0;0.0;190.0;0.0;618.0;190.0;0.0;0.0;0.0;0;190.0;190.0;190.0;0.0;3203.913159983565;645.0
2025-12-29T00:14:56.496557;0.0;0.0;191.0;0.0;618.0;191.0;0.0;0.0;0.0;0;191.0;191.0;191.0;0.0;3182.9699062459918;645.0
2025-12-29T00:14:56.501863;0.0;0.0;191.0;0.0;591.0;191.0;0.0;0.0;0.0;0;191.0;191.0;191.0;0.0;3182.969535834442;645.0
2025-12-29T00:19:23.495170;0.0;0.0;193.0;0.0;591.0;193.0;0.0;0.0;0.0;0;193.0;193.0;193.0;0.0;3164.135578140363;645.0
2025-12-29T00:19:23.496382;0.0;0.0;193.0;0.0;564.0;193.0;0.0;0.0;0.0;0;193.0;193.0;193.0;0.0;3164.135492644749;645.0
2025-12-29T00:24:23.550107;0.0;0.0;203.0;0.0;564.0;203.0;0.0;0.0;0.0;0;203.0;203.0;203.0;0.0;3143.5017168402096;645.0
2025-12-29T00:29:49.503333;0.0;0.0;171.0;0.0;564.0;171.0;0.0;0.0;0.0;0;171.0;171.0;171.0;0.0;3123.1296402152097;645.0
2025-12-29T00:29:49.504366;0.0;0.0;171.0;0.0;537.0;171.0;0.0;0.0;0.0;0;171.0;171.0;171.0;0.0;3123.1295756527097;645.0
2025-12-29T00:34:49.530823;0.0;0.0;172.0;0.0;537.0;172.0;0.0;0.0;0.0;0;172.0;172.0;172.0;0.0;3104.2682632974465;645.0
2025-12-29T00:34:49.535766;0.0;0.0;172.0;0.0;510.0;172.0;0.0;0.0;0.0;0;172.0;172.0;172.0;0.0;3104.2679525532944;645.0
2025-12-29T00:40:15.498467;0.0;0.0;171.0;0.0;510.0;171.0;0.0;0.0;0.0;0;171.0;171.0;171.0;0.0;3083.8952837407946;645.0
2025-12-29T00:45:15.487784;0.0;0.0;194.0;0.0;510.0;194.0;0.0;0.0;0.0;0;194.0;194.0;194.0;0.0;3062.6241114096542;645.0
2025-12-29T00:45:15.493330;0.0;0.0;194.0;0.0;483.0;194.0;0.0;0.0;0.0;0;194.0;194.0;194.0;0.0;3062.6237181625784;645.0
2025-12-29T00:50:40.509359;0.0;0.0;194.0;0.0;456.0;194.0;0.0;0.0;0.0;0;194.0;194.0;194.0;0.0;3039.577990960093;645.0
2025-12-29T00:54:40.536776;0.0;0.0;193.0;0.0;456.0;193.0;0.0;0.0;0.0;0;193.0;193.0;193.0;0.0;3022.646232377856;645.0
2025-12-29T01:00:06.603979;0.0;0.0;188.0;0.0;456.0;188.0;0.0;0.0;0.0;0;188.0;188.0;188.0;0.0;3000.2410298325344;645.0
2025-12-29T01:00:06.605015;0.0;0.0;188.0;0.0;430.0;188.0;0.0;0.0;0.0;0;188.0;188.0;188.0;0.0;3000.2409586454;645.0
2025-12-29T01:05:06.534537;0.0;0.0;190.0;0.0;430.0;190.0;0.0;0.0;0.0;0;190.0;190.0;190.0;0.0;2979.4125196176224;645.0
2025-12-29T01:05:06.539833;0.0;0.0;190.0;0.0;403.0;190.0;0.0;0.0;0.0;0;190.0;190.0;190.0;0.0;2979.4121518398447;645.0
2025-12-29T01:10:32.612684;0.0;0.0;171.0;0.0;403.0;171.0;0.0;0.0;0.0;0;171.0;171.0;171.0;0.0;2959.032598652345;645.0
2025-12-29T01:14:32.495750;0.0;0.0;172.0;0.0;403.0;172.0;0.0;0.0;0.0;0;172.0;172.0;172.0;0.0;2943.9522304681345;645.0
2025-12-29T01:14:32.500750;0.0;0.0;172.0;0.0;376.0;172.0;0.0;0.0;0.0;0;172.0;172.0;172.0;0.0;2943.9519161406492;645.0
2025-12-29T01:19:32.496017;0.0;0.0;171.0;0.0;376.0;171.0;0.0;0.0;0.0;0;171.0;171.0;171.0;0.0;2925.2022119531493;645.0
2025-12-29T01:19:32.501390;0.0;0.0;171.0;0.0;349.0;171.0;0.0;0.0;0.0;0;171.0;171.0;171.0;0.0;2925.2018761406493;645.0
2025-12-29T01:29:58.491696;0.0;0.0;173.0;0.0;349.0;173.0;0.0;0.0;0.0;0;173.0;173.0;173.0;0.0;2885.6198867627254;645.0
2025-12-29T01:29:58.496951;0.0;0.0;173.0;0.0;322.0;173.0;0.0;0.0;0.0;0;173.0;173.0;173.0;0.0;2885.619554483851;645.0
2025-12-29T01:35:24.496893;0.0;0.0;167.0;0.0;322.0;167.0;0.0;0.0;0.0;0;167.0;167.0;167.0;0.0;2865.7211662111904;645.0
2025-12-29T01:40:24.498524;0.0;0.0;169.0;0.0;322.0;169.0;0.0;0.0;0.0;0;169.0;169.0;169.0;0.0;2847.190363711556;645.0
2025-12-29T01:40:24.503944;0.0;0.0;169.0;0.0;295.0;169.0;0.0;0.0;0.0;0;169.0;169.0;169.0;0.0;2847.1900289235446;645.0
2025-12-29T01:44:49.512982;0.0;0.0;0.0;0.0;295.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2847.1900289235446;645.0
2025-12-29T01:44:49.514484;0.0;0.0;0.0;0.0;268.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2847.1900289235446;645.0
2025-12-29T01:44:49.515441;188.0;0.0;0.0;0.0;268.0;188.0;0.0;0.0;0.0;0;188.0;188.0;188.0;0.0;2847.1899631647725;645.0
2025-12-29T01:49:49.493355;190.0;0.0;0.0;0.0;268.0;190.0;0.0;0.0;0.0;0;190.0;190.0;190.0;0.0;2826.3581635814394;645.0
2025-12-29T01:55:15.491654;189.0;0.0;0.0;0.0;268.0;189.0;0.0;0.0;0.0;0;189.0;189.0;189.0;0.0;2803.838544242624;645.0
2025-12-29T02:00:15.498155;188.0;0.0;0.0;0.0;268.0;188.0;0.0;0.0;0.0;0;188.0;188.0;188.0;0.0;2783.224062448764;645.0
2025-12-29T02:10:41.500379;189.0;0.0;0.0;0.0;268.0;189.0;0.0;0.0;0.0;0;189.0;189.0;189.0;0.0;2739.9804877645533;645.0
2025-12-29T02:20:06.505090;175.0;0.0;0.0;0.0;268.0;175.0;0.0;0.0;0.0;0;175.0;175.0;175.0;0.0;2703.8416630478137;645.0
2025-12-29T02:25:31.506240;169.0;0.0;0.0;0.0;268.0;169.0;0.0;0.0;0.0;0;169.0;169.0;169.0;0.0;2683.766665112872;645.0
2025-12-29T02:30:32.497698;168.0;0.0;0.0;0.0;268.0;168.0;0.0;0.0;0.0;0;168.0;168.0;168.0;0.0;2665.284733481293;645.0
2025-12-29T02:35:58.501696;189.0;0.0;0.0;0.0;268.0;189.0;0.0;0.0;0.0;0;189.0;189.0;189.0;0.0;2642.7647204615564;645.0
2025-12-29T02:40:58.509572;190.0;0.0;0.0;0.0;268.0;190.0;0.0;0.0;0.0;0;190.0;190.0;190.0;0.0;2621.930840183779;645.0
