timestamp;akkuEntladung;akkuLadestand;hausabgabe;akkuLadung;solarleistung;netzbezug;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2025-12-17T23:00:00+00:00;-0.0;268.0;0.0;0.0;0.0;209.0;209.0;0.0;0.0;0.0;0;209.0;209.0;209.0;0.0;268;268.0
2025-12-17T23:00:15.770000+00:00;-0.0;268.0;0.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;0.0;0;200.0;0.0;200.0;268;268.0
2025-12-17T23:04:16.398000+00:00;-0.0;268.0;0.0;0.0;0.0;202.0;202.0;0.0;0.0;0.0;0.0;0;202.0;0.0;202.0;268;268.0
2025-12-17T23:09:16.440000+00:00;-0.0;268.0;0.0;0.0;0.0;197.0;197.0;0.0;0.0;0.0;0.0;0;197.0;0.0;197.0;268;268.0
2025-12-17T23:14:42.398000+00:00;-0.0;268.0;0.0;0.0;0.0;182.0;182.0;0.0;0.0;0.0;0.0;0;182.0;0.0;182.0;268;268.0
2025-12-17T23:19:42.391000+00:00;-0.0;268.0;0.0;0.0;0.0;178.0;178.0;0.0;0.0;0.0;0.0;0;178.0;0.0;178.0;268;268.0
2025-12-17T23:25:08.398000+00:00;-0.0;268.0;0.0;0.0;0.0;179.0;179.0;0.0;0.0;0.0;0.0;0;179.0;0.0;179.0;268;268.0
2025-12-17T23:30:08.389000+00:00;-0.0;268.0;0.0;0.0;0.0;177.0;177.0;0.0;0.0;0.0;0.0;0;177.0;0.0;177.0;268;268.0
2025-12-17T23:34:34.399000+00:00;-0.0;268.0;0.0;0.0;0.0;181.0;181.0;0.0;0.0;0.0;0.0;0;181.0;0.0;181.0;268;268.0
2025-12-17T23:39:34.400000+00:00;-0.0;268.0;0.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;0.0;0;200.0;0.0;200.0;268;268.0
2025-12-17T23:45:00.403000+00:00;-0.0;268.0;0.0;0.0;0.0;199.0;199.0;0.0;0.0;0.0;0.0;0;199.0;0.0;199.0;268;268.0
2025-12-17T23:50:00.399000+00:00;-0.0;268.0;0.0;0.0;0.0;197.0;197.0;0.0;0.0;0.0;0.0;0;197.0;0.0;197.0;268;268.0
2025-12-17T23:55:25.393000+00:00;-0.0;268.0;0.0;0.0;0.0;198.0;198.0;0.0;0.0;0.0;0.0;0;198.0;0.0;198.0;268;268.0
2025-12-18T00:00:25.389000+00:00;-0.0;268.0;0.0;0.0;0.0;180.0;180.0;0.0;0.0;0.0;0.0;0;180.0;0.0;180.0;268;268.0
2025-12-18T00:04:51.404000+00:00;-0.0;268.0;0.0;0.0;0.0;199.0;199.0;0.0;0.0;0.0;0.0;0;199.0;0.0;199.0;268;268.0
2025-12-18T00:09:51.399000+00:00;-0.0;268.0;0.0;0.0;0.0;179.0;179.0;0.0;0.0;0.0;0.0;0;179.0;0.0;179.0;268;268.0
2025-12-18T00:20:16.400000+00:00;-0.0;268.0;0.0;0.0;0.0;177.0;177.0;0.0;0.0;0.0;0.0;0;177.0;0.0;177.0;268;268.0
2025-12-18T00:22:38.408000+00:00;-0.0;268.0;0.0;0.0;0.0;177.0;177.0;0.0;0.0;0.0;0.0;0;177.0;0.0;177.0;268;268.0
2025-12-18T00:22:38.411000+00:00;-0.0;268.0;0.0;0.0;0.0;177.0;177.0;0.0;0.0;0.0;0.0;0;177.0;0.0;177.0;268;268.0
2025-12-18T00:22:38.412000+00:00;-0.0;268.0;0.0;0.0;0.0;177.0;177.0;0.0;0.0;0.0;0.0;0;177.0;0.0;177.0;268;268.0
2025-12-18T00:22:38.419000+00:00;-0.0;268.0;0.0;0.0;0.0;177.0;177.0;0.0;0.0;0.0;0.0;0;177.0;0.0;177.0;268;268.0
2025-12-18T00:26:04.409000+00:00;-0.0;268.0;0.0;0.0;0.0;178.0;178.0;0.0;0.0;0.0;0.0;0;178.0;0.0;178.0;268;268.0
2025-12-18T00:30:04.403000+00:00;-0.0;268.0;0.0;0.0;0.0;202.0;202.0;0.0;0.0;0.0;0.0;0;202.0;0.0;202.0;268;268.0
2025-12-18T00:35:30.422000+00:00;-0.0;268.0;0.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;0.0;0;200.0;0.0;200.0;268;268.0
