entity_id,state,timestamp,last_changed
sensor.shelly_pro_3_em_netzbezug,208,1765494000.0,2025-12-12T00:00:00
sensor.shelly_pro_3_em_netzbezug,199,1765494171.273745,2025-12-12T00:02:51.273745
sensor.shelly_pro_3_em_netzbezug,200,1765494471.2699678,2025-12-12T00:07:51.269968
sensor.shelly_pro_3_em_netzbezug,177,1765494737.3136618,2025-12-12T00:12:17.313662
sensor.shelly_pro_3_em_netzbezug,181,1765495362.2918231,2025-12-12T00:22:42.291823
sensor.shelly_pro_3_em_netzbezug,178,1765495662.2719557,2025-12-12T00:27:42.271956
sensor.shelly_pro_3_em_netzbezug,199,1765495987.4133434,2025-12-12T00:33:07.413343
sensor.shelly_pro_3_em_netzbezug,200,1765496287.2855613,2025-12-12T00:38:07.285561
sensor.shelly_pro_3_em_netzbezug,198,1765496552.269978,2025-12-12T00:42:32.269978
sensor.shelly_pro_3_em_netzbezug,196,1765496852.2704158,2025-12-12T00:47:32.270416
sensor.shelly_pro_3_em_netzbezug,197,1765497477.2933435,2025-12-12T00:57:57.293344
sensor.shelly_pro_3_em_netzbezug,196,1765498102.3076684,2025-12-12T01:08:22.307668
sensor.shelly_pro_3_em_netzbezug,178,1765498367.2711868,2025-12-12T01:12:47.271187
sensor.shelly_pro_3_em_netzbezug,184,1765498992.2734835,2025-12-12T01:23:12.273484
sensor.shelly_pro_3_em_netzbezug,186,1765499292.2731774,2025-12-12T01:28:12.273177
sensor.shelly_pro_3_em_netzbezug,205,1765499617.275212,2025-12-12T01:33:37.275212
sensor.shelly_pro_3_em_netzbezug,206,1765499857.2785442,2025-12-12T01:37:37.278544
sensor.shelly_pro_3_em_netzbezug,213,1765500242.2814894,2025-12-12T01:44:02.281489
sensor.shelly_pro_3_em_netzbezug,197,1765500482.273963,2025-12-12T01:48:02.273963
sensor.shelly_pro_3_em_netzbezug,199,1765500807.4356425,2025-12-12T01:53:27.435642
sensor.shelly_pro_3_em_netzbezug,195,1765501107.272463,2025-12-12T01:58:27.272463
sensor.shelly_pro_3_em_netzbezug,200,1765501432.4172795,2025-12-12T02:03:52.417279
sensor.shelly_pro_3_em_netzbezug,177,1765501672.2726219,2025-12-12T02:07:52.272622
sensor.shelly_pro_3_em_netzbezug,176,1765501972.276798,2025-12-12T02:12:52.276798
sensor.shelly_pro_3_em_netzbezug,173,1765502297.2791584,2025-12-12T02:18:17.279158
sensor.shelly_pro_3_em_netzbezug,195,1765502597.2797637,2025-12-12T02:23:17.279764
sensor.shelly_pro_3_em_netzbezug,197,1765502923.3124416,2025-12-12T02:28:43.312442
sensor.shelly_pro_3_em_netzbezug,195,1765503223.2739828,2025-12-12T02:33:43.273983
sensor.shelly_pro_3_em_netzbezug,194,1765503488.3279798,2025-12-12T02:38:08.327980
sensor.shelly_pro_3_em_netzbezug,192,1765503788.2793882,2025-12-12T02:43:08.279388
sensor.shelly_pro_3_em_netzbezug,193,1765504113.3263252,2025-12-12T02:48:33.326325
sensor.shelly_pro_3_em_netzbezug,174,1765504413.3239954,2025-12-12T02:53:33.323995
