entity_id,state,last_changed
sensor.shelly_pro_3_em_netzbezug,218,2025-11-21T23:00:00.000Z
sensor.shelly_pro_3_em_netzbezug,216,2025-11-21T23:00:50.642Z
sensor.shelly_pro_3_em_netzbezug,278,2025-11-21T23:04:51.551Z
sensor.shelly_pro_3_em_netzbezug,279,2025-11-21T23:10:17.712Z
sensor.shelly_pro_3_em_netzbezug,276,2025-11-21T23:15:18.551Z
sensor.shelly_pro_3_em_netzbezug,277,2025-11-21T23:20:44.406Z
sensor.shelly_pro_3_em_netzbezug,233,2025-11-21T23:24:44.567Z
sensor.shelly_pro_3_em_netzbezug,2106,2025-11-21T23:31:10.364Z
sensor.shelly_pro_3_em_netzbezug,2105,2025-11-21T23:35:10.645Z
sensor.shelly_pro_3_em_netzbezug,279,2025-11-21T23:40:11.564Z
sensor.shelly_pro_3_em_netzbezug,266,2025-11-21T23:45:37.544Z
sensor.shelly_pro_3_em_netzbezug,258,2025-11-21T23:50:37.579Z
sensor.shelly_pro_3_em_netzbezug,254,2025-11-21T23:55:04.561Z
sensor.shelly_pro_3_em_netzbezug,244,2025-11-22T00:00:04.545Z
sensor.shelly_pro_3_em_netzbezug,260,2025-11-22T00:05:30.560Z
sensor.shelly_pro_3_em_netzbezug,2097,2025-11-22T00:10:30.558Z
sensor.shelly_pro_3_em_netzbezug,2099,2025-11-22T00:15:56.557Z
sensor.shelly_pro_3_em_netzbezug,2107,2025-11-22T00:20:56.552Z
sensor.shelly_pro_3_em_netzbezug,269,2025-11-22T00:25:22.542Z
sensor.shelly_pro_3_em_netzbezug,274,2025-11-22T00:30:22.552Z
sensor.shelly_pro_3_em_netzbezug,269,2025-11-22T00:33:48.373Z
sensor.shelly_pro_3_em_netzbezug,277,2025-11-22T00:34:48.549Z
sensor.shelly_pro_3_em_netzbezug,276,2025-11-22T00:36:48.537Z
sensor.shelly_pro_3_em_netzbezug,270,2025-11-22T00:37:48.562Z
sensor.shelly_pro_3_em_netzbezug,275,2025-11-22T00:38:48.548Z
sensor.shelly_pro_3_em_netzbezug,273,2025-11-22T00:45:14.560Z
sensor.shelly_pro_3_em_netzbezug,242,2025-11-22T00:51:14.540Z
sensor.shelly_pro_3_em_netzbezug,222,2025-11-22T00:55:40.572Z
sensor.shelly_pro_3_em_netzbezug,249,2025-11-22T01:00:40.567Z
sensor.shelly_pro_3_em_netzbezug,223,2025-11-22T01:06:06.590Z
sensor.shelly_pro_3_em_netzbezug,2063,2025-11-22T01:11:06.561Z
sensor.shelly_pro_3_em_netzbezug,2056,2025-11-22T01:16:32.565Z
sensor.shelly_pro_3_em_netzbezug,233,2025-11-22T01:20:32.560Z
sensor.shelly_pro_3_em_netzbezug,245,2025-11-22T01:25:59.382Z
sensor.shelly_pro_3_em_netzbezug,224,2025-11-22T01:30:59.544Z
sensor.shelly_pro_3_em_netzbezug,225,2025-11-22T01:36:25.370Z
sensor.shelly_pro_3_em_netzbezug,234,2025-11-22T01:41:25.547Z
sensor.shelly_pro_3_em_netzbezug,215,2025-11-22T01:46:51.379Z
sensor.shelly_pro_3_em_netzbezug,204,2025-11-22T01:50:51.546Z
sensor.shelly_pro_3_em_netzbezug,202,2025-11-22T01:55:51.542Z
sensor.shelly_pro_3_em_netzbezug,201,2025-11-22T02:01:17.558Z
sensor.shelly_pro_3_em_netzbezug,185,2025-11-22T02:06:17.561Z
sensor.shelly_pro_3_em_netzbezug,184,2025-11-22T02:11:43.554Z
sensor.shelly_pro_3_em_netzbezug,179,2025-11-22T02:16:43.564Z
sensor.shelly_pro_3_em_netzbezug,182,2025-11-22T02:21:09.588Z
sensor.shelly_pro_3_em_netzbezug,199,2025-11-22T02:26:09.546Z
sensor.shelly_pro_3_em_netzbezug,206,2025-11-22T02:31:35.572Z
sensor.shelly_pro_3_em_netzbezug,203,2025-11-22T02:36:35.551Z
sensor.shelly_pro_3_em_netzbezug,199,2025-11-22T02:46:02.545Z
sensor.shelly_pro_3_em_netzbezug,207,2025-11-22T02:51:28.545Z
sensor.shelly_pro_3_em_netzbezug,204,2025-11-22T02:56:28.551Z
sensor.shelly_pro_3_em_netzbezug,182,2025-11-22T03:01:54.549Z
sensor.shelly_pro_3_em_netzbezug,180,2025-11-22T03:11:20.641Z
