entity_id,value,timestamp,iso_time
sensor.shelly_pro_3_em_netzbezug,0,1775426400.0,2026-04-06T00:00:00
sensor.shelly_pro_3_em_netzbezug,6,1775437184.9758818,2026-04-06T02:59:44.975882
sensor.shelly_pro_3_em_netzbezug,0,1775437484.9535804,2026-04-06T03:04:44.953580
sensor.shelly_pro_3_em_netzbezug,189,1775446533.9868925,2026-04-06T05:35:33.986892
sensor.shelly_pro_3_em_netzbezug,212,1775446838.3499784,2026-04-06T05:40:38.349978
sensor.shelly_pro_3_em_netzbezug,193,1775447443.396424,2026-04-06T05:50:43.396424
sensor.shelly_pro_3_em_netzbezug,191,1775447743.9499981,2026-04-06T05:55:43.949998
sensor.shelly_pro_3_em_netzbezug,189,1775448048.345277,2026-04-06T06:00:48.345277
sensor.shelly_pro_3_em_netzbezug,191,1775448349.1348221,2026-04-06T06:05:49.134822
sensor.shelly_pro_3_em_netzbezug,199,1775448654.362663,2026-04-06T06:10:54.362663
sensor.shelly_pro_3_em_netzbezug,191,1775448954.9598303,2026-04-06T06:15:54.959830
sensor.shelly_pro_3_em_netzbezug,196,1775449259.337177,2026-04-06T06:20:59.337177
sensor.shelly_pro_3_em_netzbezug,189,1775449559.9631722,2026-04-06T06:25:59.963172
sensor.shelly_pro_3_em_netzbezug,443,1775449865.3463995,2026-04-06T06:31:05.346400
sensor.shelly_pro_3_em_netzbezug,192,1775450165.9455612,2026-04-06T06:36:05.945561
sensor.shelly_pro_3_em_netzbezug,191,1775450470.3297508,2026-04-06T06:41:10.329751
sensor.shelly_pro_3_em_netzbezug,190,1775450771.9665582,2026-04-06T06:46:11.966558
sensor.shelly_pro_3_em_netzbezug,199,1775451376.9622498,2026-04-06T06:56:16.962250
sensor.shelly_pro_3_em_netzbezug,190,1775451682.4415526,2026-04-06T07:01:22.441553
sensor.shelly_pro_3_em_netzbezug,176,1775451982.974641,2026-04-06T07:06:22.974641
sensor.shelly_pro_3_em_netzbezug,151,1775452287.5240328,2026-04-06T07:11:27.524033
sensor.shelly_pro_3_em_netzbezug,145,1775452587.966766,2026-04-06T07:16:27.966766
sensor.shelly_pro_3_em_netzbezug,156,1775452892.4534335,2026-04-06T07:21:32.453434
sensor.shelly_pro_3_em_netzbezug,148,1775453194.0423875,2026-04-06T07:26:34.042387
sensor.shelly_pro_3_em_netzbezug,134,1775453498.3932164,2026-04-06T07:31:38.393216
sensor.shelly_pro_3_em_netzbezug,130,1775453558.9728134,2026-04-06T07:32:38.972813
sensor.shelly_pro_3_em_netzbezug,125,1775453618.9600077,2026-04-06T07:33:38.960008
sensor.shelly_pro_3_em_netzbezug,167,1775453678.9579594,2026-04-06T07:34:38.957959
sensor.shelly_pro_3_em_netzbezug,146,1775453738.962262,2026-04-06T07:35:38.962262
sensor.shelly_pro_3_em_netzbezug,143,1775453798.9913976,2026-04-06T07:36:38.991398
sensor.shelly_pro_3_em_netzbezug,132,1775454103.4666858,2026-04-06T07:41:43.466686
sensor.shelly_pro_3_em_netzbezug,120,1775454403.9948058,2026-04-06T07:46:43.994806
sensor.shelly_pro_3_em_netzbezug,83,1775454730.0569282,2026-04-06T07:52:10.056928
sensor.shelly_pro_3_em_netzbezug,32,1775454969.9626365,2026-04-06T07:56:09.962636
sensor.shelly_pro_3_em_netzbezug,11,1775455269.9834197,2026-04-06T08:01:09.983420
sensor.shelly_pro_3_em_netzbezug,0,1775455574.9898207,2026-04-06T08:06:14.989821
sensor.shelly_pro_3_em_netzbezug,7,1775455875.1191058,2026-04-06T08:11:15.119106
sensor.shelly_pro_3_em_netzbezug,0,1775456181.0102942,2026-04-06T08:16:21.010294
sensor.shelly_pro_3_em_netzbezug,2,1775464350.0040956,2026-04-06T10:32:30.004096
sensor.shelly_pro_3_em_netzbezug,0,1775464654.9974825,2026-04-06T10:37:34.997483
sensor.shelly_pro_3_em_netzbezug,297,1775469686.9926784,2026-04-06T12:01:26.992678
sensor.shelly_pro_3_em_netzbezug,0,1775469746.9781,2026-04-06T12:02:26.978100
sensor.shelly_pro_3_em_netzbezug,2009,1775494554.9845529,2026-04-06T18:55:54.984553
sensor.shelly_pro_3_em_netzbezug,2039,1775494859.9632301,2026-04-06T19:00:59.963230
sensor.shelly_pro_3_em_netzbezug,21,1775495159.9737403,2026-04-06T19:05:59.973740
sensor.shelly_pro_3_em_netzbezug,7,1775495465.113124,2026-04-06T19:11:05.113124
sensor.shelly_pro_3_em_netzbezug,5,1775495766.9719112,2026-04-06T19:16:06.971911
sensor.shelly_pro_3_em_netzbezug,0,1775496071.9731252,2026-04-06T19:21:11.973125
sensor.shelly_pro_3_em_netzbezug,10,1775496371.9743166,2026-04-06T19:26:11.974317
sensor.shelly_pro_3_em_netzbezug,0,1775496676.9715009,2026-04-06T19:31:16.971501
sensor.shelly_pro_3_em_netzbezug,14,1775496916.9824734,2026-04-06T19:35:16.982473
sensor.shelly_pro_3_em_netzbezug,0,1775496976.966518,2026-04-06T19:36:16.966518
sensor.shelly_pro_3_em_netzbezug,1,1775497036.9645345,2026-04-06T19:37:16.964535
sensor.shelly_pro_3_em_netzbezug,78,1775497281.9824927,2026-04-06T19:41:21.982493
sensor.shelly_pro_3_em_netzbezug,814,1775497582.1708379,2026-04-06T19:46:22.170838
sensor.shelly_pro_3_em_netzbezug,102,1775497887.9992058,2026-04-06T19:51:27.999206
sensor.shelly_pro_3_em_netzbezug,129,1775498187.977429,2026-04-06T19:56:27.977429
sensor.shelly_pro_3_em_netzbezug,0,1775498492.9909813,2026-04-06T20:01:32.990981
sensor.shelly_pro_3_em_netzbezug,15,1775498792.9711065,2026-04-06T20:06:32.971107
sensor.shelly_pro_3_em_netzbezug,0,1775499097.9735906,2026-04-06T20:11:37.973591
sensor.shelly_pro_3_em_netzbezug,30,1775500002.9736338,2026-04-06T20:26:42.973634
sensor.shelly_pro_3_em_netzbezug,0,1775500307.9929879,2026-04-06T20:31:47.992988
sensor.shelly_pro_3_em_netzbezug,24,1775500607.9647176,2026-04-06T20:36:47.964718
sensor.shelly_pro_3_em_netzbezug,0,1775500912.9618773,2026-04-06T20:41:52.961877
sensor.shelly_pro_3_em_netzbezug,1,1775502123.9835157,2026-04-06T21:02:03.983516
sensor.shelly_pro_3_em_netzbezug,0,1775502424.0295167,2026-04-06T21:07:04.029517
