entity_id,value,timestamp,iso_time
sensor.shelly_pro_3_em_netzbezug,178,1770176952.4692442,2026-02-04T04:49:12.469244
sensor.shelly_pro_3_em_netzbezug,169,1770177253.1093123,2026-02-04T04:54:13.109312
sensor.shelly_pro_3_em_netzbezug,193,1770177557.5250893,2026-02-04T04:59:17.525089
sensor.shelly_pro_3_em_netzbezug,196,1770178163.4442916,2026-02-04T05:09:23.444292
sensor.shelly_pro_3_em_netzbezug,220,1770178464.1189466,2026-02-04T05:14:24.118947
sensor.shelly_pro_3_em_netzbezug,199,1770179069.1154063,2026-02-04T05:24:29.115406
sensor.shelly_pro_3_em_netzbezug,198,1770179384.351996,2026-02-04T05:29:44.351996
sensor.shelly_pro_3_em_netzbezug,201,1770179686.118307,2026-02-04T05:34:46.118307
sensor.shelly_pro_3_em_netzbezug,185,1770179990.4803307,2026-02-04T05:39:50.480331
sensor.shelly_pro_3_em_netzbezug,181,1770180291.1137803,2026-02-04T05:44:51.113780
sensor.shelly_pro_3_em_netzbezug,221,1770180595.4905064,2026-02-04T05:49:55.490506
sensor.shelly_pro_3_em_netzbezug,219,1770180897.1238642,2026-02-04T05:54:57.123864
sensor.shelly_pro_3_em_netzbezug,199,1770181201.6071246,2026-02-04T06:00:01.607125
sensor.shelly_pro_3_em_netzbezug,194,1770181502.1202137,2026-02-04T06:05:02.120214
sensor.shelly_pro_3_em_netzbezug,175,1770181806.4758136,2026-02-04T06:10:06.475814
sensor.shelly_pro_3_em_netzbezug,171,1770182412.5100162,2026-02-04T06:20:12.510016
sensor.shelly_pro_3_em_netzbezug,198,1770182653.1259878,2026-02-04T06:24:13.125988
sensor.shelly_pro_3_em_netzbezug,187,1770182954.1304798,2026-02-04T06:29:14.130480
sensor.shelly_pro_3_em_netzbezug,169,1770183560.1169522,2026-02-04T06:39:20.116952
sensor.shelly_pro_3_em_netzbezug,170,1770183866.1242023,2026-02-04T06:44:26.124202
sensor.shelly_pro_3_em_netzbezug,192,1770184166.1239274,2026-02-04T06:49:26.123927
sensor.shelly_pro_3_em_netzbezug,191,1770184771.1691515,2026-02-04T06:59:31.169152
sensor.shelly_pro_3_em_netzbezug,1576,1770185078.125127,2026-02-04T07:04:38.125127
sensor.shelly_pro_3_em_netzbezug,213,1770185379.1285357,2026-02-04T07:09:39.128536
sensor.shelly_pro_3_em_netzbezug,203,1770185684.1216836,2026-02-04T07:14:44.121684
