entity_id,state,last_changed
sensor.shelly_pro_3_em_netzbezug,230,2025-12-09T23:00:00.000Z
sensor.shelly_pro_3_em_netzbezug,215,2025-12-09T23:03:44.260Z
sensor.shelly_pro_3_em_netzbezug,178,2025-12-09T23:08:44.259Z
sensor.shelly_pro_3_em_netzbezug,177,2025-12-09T23:13:09.261Z
sensor.shelly_pro_3_em_netzbezug,176,2025-12-09T23:18:09.253Z
sensor.shelly_pro_3_em_netzbezug,190,2025-12-09T23:23:34.259Z
sensor.shelly_pro_3_em_netzbezug,178,2025-12-09T23:28:34.252Z
sensor.shelly_pro_3_em_netzbezug,199,2025-12-09T23:33:59.250Z
sensor.shelly_pro_3_em_netzbezug,198,2025-12-09T23:34:59.271Z
sensor.shelly_pro_3_em_netzbezug,204,2025-12-09T23:35:59.251Z
sensor.shelly_pro_3_em_netzbezug,200,2025-12-09T23:36:59.256Z
sensor.shelly_pro_3_em_netzbezug,201,2025-12-09T23:37:59.252Z
sensor.shelly_pro_3_em_netzbezug,202,2025-12-09T23:38:59.274Z
sensor.shelly_pro_3_em_netzbezug,197,2025-12-09T23:43:24.255Z
sensor.shelly_pro_3_em_netzbezug,203,2025-12-09T23:48:24.251Z
sensor.shelly_pro_3_em_netzbezug,200,2025-12-09T23:53:49.260Z
sensor.shelly_pro_3_em_netzbezug,201,2025-12-09T23:58:49.256Z
sensor.shelly_pro_3_em_netzbezug,200,2025-12-10T00:04:14.266Z
sensor.shelly_pro_3_em_netzbezug,204,2025-12-10T00:09:14.266Z
sensor.shelly_pro_3_em_netzbezug,178,2025-12-10T00:14:39.330Z
sensor.shelly_pro_3_em_netzbezug,177,2025-12-10T00:18:39.299Z
sensor.shelly_pro_3_em_netzbezug,198,2025-12-10T00:24:04.387Z
sensor.shelly_pro_3_em_netzbezug,201,2025-12-10T00:29:04.306Z
sensor.shelly_pro_3_em_netzbezug,196,2025-12-10T00:34:29.434Z
sensor.shelly_pro_3_em_netzbezug,195,2025-12-10T00:44:54.434Z
sensor.shelly_pro_3_em_netzbezug,199,2025-12-10T00:48:54.275Z
sensor.shelly_pro_3_em_netzbezug,175,2025-12-10T00:53:54.271Z
sensor.shelly_pro_3_em_netzbezug,173,2025-12-10T00:59:19.331Z
sensor.shelly_pro_3_em_netzbezug,176,2025-12-10T01:04:19.276Z
sensor.shelly_pro_3_em_netzbezug,177,2025-12-10T01:08:44.286Z
sensor.shelly_pro_3_em_netzbezug,182,2025-12-10T01:14:44.275Z
sensor.shelly_pro_3_em_netzbezug,174,2025-12-10T01:19:09.270Z
sensor.shelly_pro_3_em_netzbezug,199,2025-12-10T01:24:09.273Z
sensor.shelly_pro_3_em_netzbezug,201,2025-12-10T01:29:34.280Z
sensor.shelly_pro_3_em_netzbezug,196,2025-12-10T01:34:34.265Z
sensor.shelly_pro_3_em_netzbezug,200,2025-12-10T01:38:59.271Z
sensor.shelly_pro_3_em_netzbezug,193,2025-12-10T01:43:59.279Z
sensor.shelly_pro_3_em_netzbezug,196,2025-12-10T01:49:24.255Z
sensor.shelly_pro_3_em_netzbezug,192,2025-12-10T01:59:49.253Z
sensor.shelly_pro_3_em_netzbezug,193,2025-12-10T02:04:49.255Z
sensor.shelly_pro_3_em_netzbezug,213,2025-12-10T02:09:14.256Z
sensor.shelly_pro_3_em_netzbezug,192,2025-12-10T02:14:14.249Z
sensor.shelly_pro_3_em_netzbezug,unavailable,2025-12-10T02:18:16.404Z
sensor.shelly_pro_3_em_netzbezug,174,2025-12-10T02:19:41.413Z
sensor.shelly_pro_3_em_netzbezug,172,2025-12-10T02:24:41.253Z
sensor.shelly_pro_3_em_netzbezug,184,2025-12-10T02:30:06.400Z
sensor.shelly_pro_3_em_netzbezug,172,2025-12-10T02:35:06.248Z
sensor.shelly_pro_3_em_netzbezug,178,2025-12-10T02:40:31.422Z
sensor.shelly_pro_3_em_netzbezug,175,2025-12-10T02:44:31.268Z
sensor.shelly_pro_3_em_netzbezug,197,2025-12-10T02:49:31.265Z
sensor.shelly_pro_3_em_netzbezug,203,2025-12-10T02:54:58.293Z
sensor.shelly_pro_3_em_netzbezug,196,2025-12-10T02:59:58.256Z
sensor.shelly_pro_3_em_netzbezug,192,2025-12-10T03:05:23.286Z
sensor.shelly_pro_3_em_netzbezug,195,2025-12-10T03:10:23.249Z
sensor.shelly_pro_3_em_netzbezug,192,2025-12-10T03:14:48.248Z
sensor.shelly_pro_3_em_netzbezug,193,2025-12-10T03:19:48.252Z
sensor.shelly_pro_3_em_netzbezug,175,2025-12-10T03:25:13.263Z
sensor.shelly_pro_3_em_netzbezug,174,2025-12-10T03:30:13.258Z
sensor.shelly_pro_3_em_netzbezug,173,2025-12-10T03:45:03.255Z
sensor.shelly_pro_3_em_netzbezug,176,2025-12-10T03:50:03.251Z
sensor.shelly_pro_3_em_netzbezug,173,2025-12-10T03:55:28.282Z
sensor.shelly_pro_3_em_netzbezug,175,2025-12-10T04:00:28.272Z
sensor.shelly_pro_3_em_netzbezug,172,2025-12-10T04:05:53.262Z
sensor.shelly_pro_3_em_netzbezug,173,2025-12-10T04:10:53.256Z
sensor.shelly_pro_3_em_netzbezug,195,2025-12-10T04:15:18.257Z
sensor.shelly_pro_3_em_netzbezug,210,2025-12-10T04:20:18.249Z
sensor.shelly_pro_3_em_netzbezug,200,2025-12-10T04:25:44.260Z
sensor.shelly_pro_3_em_netzbezug,197,2025-12-10T04:30:44.365Z
sensor.shelly_pro_3_em_netzbezug,200,2025-12-10T04:36:09.263Z
sensor.shelly_pro_3_em_netzbezug,209,2025-12-10T04:46:35.262Z
sensor.shelly_pro_3_em_netzbezug,201,2025-12-10T04:50:35.268Z
sensor.shelly_pro_3_em_netzbezug,202,2025-12-10T05:01:01.255Z
sensor.shelly_pro_3_em_netzbezug,199,2025-12-10T05:06:26.396Z
sensor.shelly_pro_3_em_netzbezug,197,2025-12-10T05:15:26.270Z
sensor.shelly_pro_3_em_netzbezug,199,2025-12-10T05:20:51.292Z
sensor.shelly_pro_3_em_netzbezug,178,2025-12-10T05:25:51.255Z
sensor.shelly_pro_3_em_netzbezug,526,2025-12-10T05:31:16.265Z
sensor.shelly_pro_3_em_netzbezug,193,2025-12-10T05:36:16.261Z
